Бумага,ISIN,"Текущий купон, %","Индикативная цена, %","Индикативная доходность, %","G-spread, бп",Ликвидность,Уровень ликвидности,"Δ индикатив. цены за 1 день, %","Δ индикатив. цены за 1 неделю, %","Δ индикатив. цены за 1 месяц, %","Δ индикатив. цены за 3 месяца, %","Дюрация, дней",Модифицированная дюрация,Оферта (call),"Срок до погашения, лет",Погашение,Страна,Эмитент,SPV,Сектор,Отрасль,Валюта,Статус,Купон,Периодичность купона,Тип ставки,Вид облигации,Непогаш. ном.,Рейтинг эмитента АКРА,Рейтинг эмитента Эксперт РА,Рейтинг эмитента НКР,Рейтинг эмитента НРА,Начало размещения,Окончание размещения,Дата торгов
"Sber CIB, CIB-CO-690",RU000A0NX530,"0,010",,,,,,,,,,,,,,11.04.2029,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,25.03.2024,27.03.2024,
"Sber CIB, CIB-CO-691",RU000A0NX548,"0,010",,,,,,,,,,,,,,10.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,25.03.2024,27.03.2024,
"Sber CIB, CIB-CO-EQ-001S-04",RU000A109GX4,,"91,40",,,4,средняя,"1,33","1,22","-1,19","-1,72",,,,,04.05.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,0%,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,25.10.2024,28.10.2024,27.02.2026
"Sber CIB, CIB-CO-EQ-001S-10",RU000A109H37,,"140,80",,,0,низкая,"-0,28","0,28","1,59","3,76",,,,,06.12.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,0%,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,29.11.2024,02.12.2024,27.02.2026
"Sber CIB, CIB-CO-EQ-001S-12",RU000A109H52,,"101,55",,,0,низкая,"-0,20",,"0,40","6,11",,,,,23.12.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,0%,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,16.12.2024,17.12.2024,27.02.2026
"Sber CIB, CIB-CO-EQ-001S-13",RU000A109H60,,"87,90",,,3,низкая,"0,00","-0,34","-1,79","-8,15",,,,,22.01.2030,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,0%,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,15.01.2025,16.01.2025,27.02.2026
"Sber CIB, CIB-CO-EQ-001S-15",RU000A109H86,,"89,98",,,0,низкая,"0,00","0,00","-2,04","1,32",,,,,23.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,0%,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,14.03.2025,17.03.2025,27.02.2026
"Sber CIB, CIB-CO-EQ-001S-16",RU000A109H94,,"104,40",,,4,средняя,"0,00","0,00","0,19","1,16",,,,,31.03.2028,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,0%,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,31.03.2025,01.04.2025,27.02.2026
"Sber CIB, CIB-CO-EQ-001S-19",RU000A109HC6,,"7,60","420,801","40 632,62",0,низкая,"-1,30","-8,43","-8,43",,"570,00","0,30",,"1,56",20.09.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,0%,1,Фиксированная,Дисконтные,"1 000,000000",AAA(RU),ruAAA,,,11.09.2025,12.09.2025,27.02.2026
"Sber CIB, CIB-CO-EQ-001S-20",RU000A109HD4,,"84,40",,,4,средняя,"0,59",,,"-8,70",,,,,17.04.2028,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,0%,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,10.04.2025,11.04.2025,27.02.2026
