Бумага,ISIN,Эмитент,Отрасль,Рейтинг эмитента АКРА,rating_score,"Индикативная доходность, %",dur_years,Ликвидность,score
"АФК Система, 001P-08",RU000A0ZYWU3,АФК Система,Холдинги,AA-(RU),3.0,17.74,1.8184657534246575,6.0,104.4
"Группа Позитив, 001P-03",RU000A10BWC6,Группа Позитив,ИТ сервисы и программное обеспечение,AA-(RU),3.0,16.077,1.7868493150684932,7.0,105.8
"Полипласт, П02-БО-04",RU000A10BFJ6,Полипласт,Химическая и нефтехимическая промышленность,A(RU),1.0,19.317,0.9744109589041097,7.0,105.8
"АФК Система, 001P-10",RU000A1008J4,АФК Система,Холдинги,AA-(RU),3.0,19.124,0.9753424657534246,6.0,106.0
"Славнефть, 002P-04",RU000A104WF9,Славнефть,Нефтегазовая отрасль,AA(RU),4.0,15.79,1.5451780821917809,7.0,106.7
"Росэксимбанк, 002Р-03",RU000A101UE2,Росэксимбанк,Банки,AA+(RU),5.0,17.206,1.2686575342465753,5.0,106.70000000000002
"А101, БО-001P-02",RU000A10DZU7,А101,Строительство зданий,A+(RU),2.0,17.42,1.562821917808219,7.0,107.3
"Почта России, БО-001Р-10",RU000A101ZH4,Почта России,Почтовая и курьерская служба,AA(RU),4.0,17.426,2.0481095890410956,5.0,107.4
"КАМАЗ, БО-П16",RU000A10CQ77,КАМАЗ,Производство автотранспорта,AA-(RU),3.0,16.123,1.353178082191781,7.0,107.80000000000001
"КАМАЗ, БО-П15",RU000A10BU31,КАМАЗ,Производство автотранспорта,AA-(RU),3.0,16.56,1.1502465753424658,7.0,107.9
"Газпромбанк, 001Р-17Р",RU000A101Z74,Газпромбанк,Банки,AA+(RU),5.0,15.342,2.14186301369863,7.0,108.0
"РусГидро, БО-П13",RU000A10BNF8,РусГидро,Электроэнергетика,AAA(RU),6.0,14.937,1.2921917808219177,6.0,108.39999999999999
"ВТБ-Лизинг, 001Р-МБ-03",RU000A10CQE2,ВТБ-Лизинг,Лизинг и аренда,AA(RU),4.0,15.908,1.118054794520548,7.0,108.9
"РЕСО-Лизинг, БО-П-25",RU000A108C74,РЕСО-Лизинг,Лизинг и аренда,AA-(RU),3.0,16.655,1.0351780821917806,7.0,109.20000000000002
"ВЭБ.РФ, ПБО-001P-18",RU000A1013P1,ВЭБ.РФ,Институты развития и государственные агентства,AAA(RU),6.0,15.388,0.7024931506849316,5.0,109.30000000000001
"Газпромбанк, 001Р-18Р",RU000A102DB2,Газпромбанк,Банки,AA+(RU),5.0,15.203,3.1672876712328764,7.0,109.60000000000001
"ГК Азот, 001Р-01",RU000A10E291,ГК Азот,Удобрения,A+(RU),2.0,17.133,1.5715616438356164,7.0,110.30000000000001
"Авто Финанс Банк, БО-001P-14",RU000A10B0U0,Авто Финанс Банк,Банки,AA(RU),4.0,15.993,0.8856438356164383,7.0,110.30000000000001
"ГТЛК, 001P-07",RU000A0ZYNY4,ГТЛК,Лизинг и аренда,AA-(RU),3.0,18.596,0.8323013698630137,6.0,110.5
"ДельтаЛизинг, 001Р-02",RU000A10B0J3,ДельтаЛизинг,Лизинг и аренда,AA-(RU),3.0,16.808,0.8712328767123287,7.0,110.70000000000002
"ГТЛК, 002P-08",RU000A10BQB0,ГТЛК,Лизинг и аренда,AA-(RU),3.0,15.886,1.8144931506849313,7.0,111.60000000000001
"Альфа-Банк, БО-18",RU000A0JX5W4,Альфа-Банк,Банки,AA+(RU),5.0,15.63,0.8439452054794521,7.0,112.40000000000002
"ГТЛК, 001P-19",RU000A101SD8,ГТЛК,Лизинг и аренда,AA-(RU),3.0,16.821,2.0373972602739725,6.0,112.9
"Группа ЛСР, 001P-11",RU000A10CKY3,Группа ЛСР,Строительство зданий,A(RU),1.0,17.079,1.7203013698630136,7.0,113.10000000000001
"Почта России, БО-002P-01",RU000A104V75,Почта России,Почтовая и курьерская служба,AA(RU),4.0,17.738,1.1895616438356165,5.0,113.5
"Роснефть, 002P-05",RU000A0ZYVU5,Роснефть,Нефтегазовая отрасль,AAA(RU),6.0,14.949,1.8435616438356164,5.0,113.60000000000001
